line,sentiment,n,e_depth
1,"anger",1,-3
1,"anticipation",2,2
1,"disgust",1,-2
1,"fear",1,-1
1,"joy",3,4
1,"sadness",1,-4
1,"trust",2,3
2,"anger",2,-3
2,"anticipation",3,2
2,"fear",2,-1
2,"sadness",1,-4
2,"trust",1,3
4,"anger",1,-3
4,"disgust",2,-2
4,"fear",2,-1
4,"joy",1,4
4,"sadness",2,-4
6,"anger",1,-3
6,"anticipation",1,2
6,"disgust",2,-2
6,"fear",2,-1
6,"joy",1,4
6,"sadness",2,-4
6,"surprise",1,1
6,"trust",1,3
7,"anger",1,-3
7,"anticipation",3,2
7,"disgust",1,-2
7,"fear",1,-1
7,"joy",2,4
7,"sadness",1,-4
7,"trust",2,3
8,"anticipation",2,2
8,"joy",3,4
8,"surprise",1,1
8,"trust",1,3
9,"anticipation",1,2
9,"joy",2,4
9,"surprise",1,1
9,"trust",1,3
10,"anger",2,-3
10,"anticipation",3,2
10,"fear",2,-1
10,"joy",3,4
10,"sadness",3,-4
10,"trust",2,3
18,"joy",1,4
18,"trust",1,3
21,"anger",1,-3
21,"disgust",1,-2
21,"trust",1,3
25,"fear",1,-1
25,"sadness",1,-4
