line,sentiment,n,e_depth
1,"anger",3,-3
1,"anticipation",7,2
1,"disgust",3,-2
1,"fear",3,-1
1,"joy",1,4
1,"sadness",3,-4
1,"trust",1,3
2,"anger",2,-3
2,"anticipation",4,2
2,"disgust",2,-2
2,"fear",3,-1
2,"joy",2,4
2,"sadness",2,-4
2,"trust",3,3
3,"disgust",1,-2
4,"anger",1,-3
4,"anticipation",5,2
4,"disgust",1,-2
4,"fear",3,-1
4,"joy",5,4
4,"sadness",1,-4
4,"surprise",1,1
4,"trust",4,3
5,"anger",1,-3
5,"fear",1,-1
5,"joy",1,4
5,"sadness",1,-4
5,"surprise",1,1
6,"anger",1,-3
6,"anticipation",2,2
6,"disgust",1,-2
6,"fear",2,-1
6,"joy",1,4
6,"sadness",1,-4
6,"surprise",3,1
7,"anger",3,-3
7,"anticipation",1,2
7,"disgust",2,-2
7,"fear",2,-1
7,"joy",2,4
7,"sadness",2,-4
7,"surprise",4,1
7,"trust",2,3
8,"anticipation",3,2
8,"joy",3,4
8,"trust",2,3
9,"anticipation",2,2
9,"fear",1,-1
9,"joy",3,4
9,"sadness",2,-4
9,"surprise",1,1
9,"trust",3,3
10,"anger",2,-3
10,"anticipation",3,2
10,"fear",2,-1
10,"joy",1,4
10,"sadness",1,-4
11,"anger",2,-3
11,"anticipation",2,2
11,"disgust",1,-2
11,"fear",1,-1
11,"joy",3,4
11,"sadness",1,-4
11,"surprise",1,1
11,"trust",2,3
12,"fear",1,-1
12,"sadness",2,-4
12,"trust",3,3
13,"fear",1,-1
13,"joy",1,4
13,"sadness",2,-4
13,"surprise",1,1
14,"anticipation",1,2
14,"joy",1,4
15,"anger",1,-3
15,"anticipation",1,2
15,"fear",1,-1
15,"joy",2,4
15,"surprise",1,1
15,"trust",4,3
16,"anticipation",5,2
16,"disgust",2,-2
16,"fear",1,-1
16,"joy",3,4
16,"sadness",2,-4
16,"trust",5,3
17,"anger",1,-3
17,"anticipation",2,2
17,"disgust",1,-2
17,"fear",2,-1
17,"joy",2,4
17,"sadness",3,-4
17,"surprise",2,1
18,"anticipation",1,2
18,"disgust",1,-2
18,"sadness",2,-4
18,"surprise",1,1
19,"anticipation",3,2
19,"joy",1,4
19,"trust",1,3
20,"fear",1,-1
20,"joy",1,4
20,"sadness",1,-4
21,"anger",2,-3
21,"anticipation",4,2
21,"disgust",2,-2
21,"fear",3,-1
21,"joy",7,4
21,"sadness",3,-4
21,"surprise",2,1
21,"trust",4,3
22,"anticipation",1,2
22,"fear",1,-1
22,"joy",2,4
23,"anticipation",2,2
23,"joy",1,4
24,"sadness",1,-4
24,"surprise",1,1
25,"anger",2,-3
25,"disgust",1,-2
25,"fear",1,-1
25,"joy",3,4
25,"sadness",4,-4
25,"surprise",1,1
25,"trust",1,3
26,"anticipation",1,2
26,"fear",1,-1
26,"joy",1,4
26,"trust",1,3
