line,sentiment,n,e_depth
1,"trust",2,3
2,"trust",2,3
4,"joy",2,4
4,"trust",2,3
8,"anger",3,-3
8,"anticipation",2,2
8,"disgust",2,-2
8,"fear",3,-1
8,"joy",3,4
8,"sadness",4,-4
8,"trust",2,3
9,"trust",1,3
10,"anger",2,-3
10,"anticipation",4,2
10,"disgust",2,-2
10,"fear",2,-1
10,"joy",4,4
10,"sadness",1,-4
10,"surprise",2,1
10,"trust",3,3
11,"joy",1,4
11,"trust",3,3
21,"anticipation",1,2
21,"fear",1,-1
21,"joy",1,4
21,"sadness",1,-4
21,"trust",1,3
22,"anticipation",1,2
22,"joy",1,4
23,"anticipation",1,2
23,"fear",1,-1
23,"joy",1,4
23,"sadness",1,-4
23,"trust",1,3
24,"anticipation",1,2
24,"fear",1,-1
24,"joy",1,4
25,"anticipation",1,2
25,"fear",1,-1
25,"joy",1,4
25,"sadness",1,-4
25,"trust",1,3
