line,sentiment,n,e_depth
1,"anger",3,-3
1,"disgust",1,-2
1,"fear",2,-1
1,"sadness",3,-4
2,"anger",1,-3
2,"anticipation",2,2
2,"disgust",1,-2
2,"fear",1,-1
2,"joy",1,4
2,"sadness",1,-4
2,"surprise",1,1
2,"trust",1,3
3,"anger",1,-3
3,"anticipation",1,2
3,"disgust",1,-2
3,"joy",2,4
3,"sadness",2,-4
3,"surprise",1,1
3,"trust",1,3
4,"anger",3,-3
4,"anticipation",1,2
4,"disgust",1,-2
4,"fear",2,-1
4,"joy",1,4
4,"sadness",3,-4
4,"surprise",2,1
4,"trust",1,3
6,"fear",1,-1
7,"anger",1,-3
7,"anticipation",1,2
7,"disgust",1,-2
7,"joy",1,4
7,"surprise",1,1
7,"trust",1,3
8,"anger",2,-3
8,"anticipation",1,2
8,"disgust",1,-2
8,"fear",1,-1
8,"joy",2,4
8,"sadness",1,-4
8,"surprise",1,1
8,"trust",1,3
9,"anger",1,-3
9,"anticipation",3,2
9,"joy",5,4
9,"surprise",1,1
9,"trust",4,3
10,"disgust",1,-2
10,"joy",1,4
10,"trust",3,3
11,"anger",1,-3
11,"anticipation",3,2
11,"joy",4,4
11,"surprise",2,1
11,"trust",3,3
12,"anger",2,-3
12,"anticipation",6,2
12,"joy",1,41
12,"surprise",6,1
12,"trust",8,3
13,"joy",1,4
14,"anticipation",2,2
14,"joy",5,4
14,"trust",4,3
15,"anticipation",1,2
16,"anticipation",2,2
16,"joy",5,4
16,"trust",5,3
17,"anger",1,-30
17,"anticipation",6,2
17,"disgust",7,-2
17,"fear",2,-1
17,"joy",7,4
17,"sadness",4,-4
17,"surprise",7,1
17,"trust",7,3
