line,sentiment,n,e_depth
1,"anger",2,-3
1,"anticipation",4,2
1,"disgust",1,-2
1,"fear",2,-1
1,"joy",2,4
1,"sadness",2,-4
1,"surprise",2,1
1,"trust",3,3
2,"anger",1,-3
2,"anticipation",1,2
2,"disgust",1,-2
2,"fear",1,-1
2,"sadness",1,-4
3,"trust",2,3
4,"anticipation",1,2
4,"joy",1,4
4,"sadness",2,-4
4,"trust",1,3
5,"anger",1,-3
5,"anticipation",2,2
5,"fear",2,-1
5,"joy",2,4
5,"sadness",1,-4
5,"surprise",1,1
5,"trust",1,3
6,"anger",1,-3
6,"anticipation",1,2
6,"disgust",1,-2
6,"fear",1,-1
6,"sadness",1,-4
6,"surprise",1,1
7,"trust",1,3
8,"anticipation",4,2
8,"joy",1,4
8,"surprise",1,1
8,"trust",1,3
9,"anger",1,-3
9,"anticipation",2,2
9,"disgust",1,-2
9,"fear",1,-1
9,"sadness",1,-4
9,"surprise",1,1
12,"anger",1,-3
12,"anticipation",3,2
12,"disgust",1,-2
12,"fear",2,-1
12,"joy",1,4
12,"sadness",2,-4
12,"surprise",1,1
12,"trust",1,3
13,"anticipation",2,2
13,"fear",1,-1
13,"joy",1,4
13,"surprise",1,1
13,"trust",1,3
16,"anticipation",2,2
16,"trust",2,3
17,"fear",1,-1
17,"joy",1,4
17,"surprise",1,1
18,"sadness",1,-4
19,"anticipation",2,2
19,"fear",1,-1
19,"joy",2,4
19,"trust",1,3
20,"trust",1,3
21,"anger",2,-3
21,"anticipation",2,2
21,"fear",2,-1
21,"joy",3,4
21,"sadness",1,-4
21,"surprise",1,1
21,"trust",2,3
