line,sentiment,n,e_depth
1,"anger",1,-3
1,"anticipation",4,2
1,"fear",2,-1
1,"joy",4,4
1,"surprise",2,1
1,"trust",3,3
2,"anger",1,-3
2,"anticipation",2,2
2,"disgust",1,-2
2,"fear",1,-1
2,"joy",4,4
2,"sadness",2,-4
2,"surprise",1,1
2,"trust",1,3
3,"anger",2,-3
3,"disgust",2,-2
3,"fear",3,-1
3,"sadness",1,-4
4,"anticipation",1,2
4,"disgust",1,-2
4,"surprise",1,1
7,"anticipation",1,2
7,"joy",1,4
7,"surprise",1,1
10,"anger",2,-3
10,"anticipation",3,2
10,"disgust",2,-2
10,"fear",3,-1
10,"joy",1,4
10,"sadness",2,-4
10,"surprise",2,1
10,"trust",1,3
11,"anger",3,-3
11,"anticipation",5,2
11,"disgust",1,-2
11,"fear",4,-1
11,"joy",2,4
11,"sadness",1,-4
11,"surprise",4,1
11,"trust",3,3
12,"anger",4,-3
12,"anticipation",6,2
12,"disgust",2,-2
12,"fear",4,-1
12,"joy",3,4
12,"sadness",1,-4
12,"surprise",4,1
12,"trust",6,3
13,"anger",2,-3
13,"anticipation",6,2
13,"disgust",2,-2
13,"fear",1,-1
13,"joy",2,4
13,"surprise",2,1
13,"trust",3,3
14,"anger",3,-3
14,"anticipation",8,2
14,"disgust",1,-2
14,"fear",2,-1
14,"joy",1,4
14,"sadness",1,-4
14,"surprise",3,1
14,"trust",1,3
15,"anger",2,-3
15,"anticipation",3,2
15,"fear",2,-1
15,"sadness",1,-4
15,"surprise",2,1
18,"anger",1,-3
18,"anticipation",1,2
18,"disgust",1,-2
18,"fear",1,-1
18,"sadness",1,-4
18,"surprise",1,1
19,"anger",1,-3
19,"disgust",1,-2
19,"fear",2,-1
19,"sadness",1,-4
21,"anticipation",1,2
21,"surprise",1,1
24,"anticipation",1,2
24,"joy",1,4
24,"surprise",1,1
24,"trust",1,3
27,"anger",6,-3
27,"anticipation",5,2
27,"disgust",6,-2
27,"fear",6,-1
27,"joy",2,4
27,"surprise",3,1
27,"trust",2,3
28,"anger",1,-3
28,"disgust",3,-2
28,"fear",1,-1
