line,sentiment,n,e_depth
5,"anticipation",1,2
5,"fear",1,-1
5,"joy",1,4
5,"trust",1,3
7,"anticipation",1,2
12,"disgust",1,-2
12,"fear",1,-1
12,"sadness",1,-4
13,"joy",1,4
13,"trust",1,3
14,"anticipation",2,2
14,"fear",2,-1
14,"joy",2,4
14,"sadness",1,-4
14,"surprise",1,1
14,"trust",2,3
15,"anger",1,-3
15,"anticipation",1,2
15,"disgust",1,-2
15,"fear",2,-1
15,"sadness",2,-4
16,"disgust",1,-2
16,"fear",2,-1
16,"sadness",1,-4
16,"trust",1,3
17,"anger",1,-3
17,"anticipation",2,2
17,"fear",3,-1
17,"sadness",1,-4
17,"trust",2,3
19,"fear",2,-1
19,"sadness",2,-4
19,"trust",1,3
20,"disgust",1,-2
20,"fear",1,-1
20,"sadness",1,-4
22,"disgust",1,-2
22,"fear",1,-1
22,"sadness",1,-4
24,"fear",2,-1
24,"sadness",2,-4
24,"trust",1,3
25,"disgust",1,-2
25,"fear",1,-1
25,"sadness",1,-4
27,"anticipation",2,2
27,"joy",1,4
27,"sadness",2,-4
27,"trust",1,3
28,"anticipation",1,2
28,"fear",2,-1
28,"joy",1,4
28,"surprise",1,1
28,"trust",1,3
29,"anticipation",1,2
29,"fear",1,-1
30,"fear",1,-1
30,"sadness",1,-4
31,"anticipation",2,2
31,"joy",1,4
31,"sadness",2,-4
31,"trust",3,3
34,"anticipation",1,2
35,"anticipation",2,2
35,"joy",1,4
35,"sadness",1,-4
35,"trust",2,3
38,"anticipation",1,2
38,"sadness",1,-4
39,"anticipation",4,2
39,"joy",7,4
39,"sadness",1,-4
39,"surprise",4,1
39,"trust",4,3
40,"sadness",1,-4
41,"anticipation",1,2
41,"disgust",1,-2
41,"fear",1,-1
41,"joy",1,4
41,"sadness",1,-4
41,"trust",1,3
47,"disgust",2,-2
47,"fear",2,-1
47,"sadness",2,-4
50,"anticipation",1,2
50,"joy",1,4
50,"sadness",1,-4
50,"surprise",1,1
50,"trust",1,3
52,"anticipation",2,2
52,"fear",2,-1
52,"joy",2,4
52,"sadness",1,-4
52,"trust",2,3
53,"anger",1,-3
53,"anticipation",1,2
53,"fear",2,-1
53,"sadness",2,-4
53,"surprise",1,1
53,"trust",1,3
54,"anticipation",1,2
55,"anger",1,-3
56,"anger",1,-3
56,"disgust",1,-2
58,"anger",1,-3
58,"disgust",1,-2
58,"fear",1,-1
58,"sadness",1,-4
61,"anger",3,-3
61,"anticipation",3,2
61,"joy",4,4
61,"sadness",3,-4
61,"trust",2,3
