line,sentiment,n,e_depth
1,"anticipation",1,2
1,"sadness",1,-4
2,"sadness",1,-4
3,"anger",1,-3
3,"anticipation",1,2
3,"disgust",1,-2
3,"fear",1,-1
3,"joy",1,4
3,"sadness",1,-4
3,"surprise",1,1
3,"trust",1,3
4,"anger",1,-3
4,"anticipation",2,2
4,"joy",1,4
4,"surprise",1,1
4,"trust",1,3
5,"anger",1,-3
5,"disgust",1,-2
5,"fear",1,-1
5,"sadness",1,-4
6,"anger",1,-3
6,"fear",1,-1
6,"sadness",1,-4
11,"surprise",1,1
14,"anticipation",1,2
14,"joy",1,4
14,"trust",1,3
16,"joy",1,4
16,"trust",1,3
17,"anger",1,-3
17,"fear",1,-1
17,"sadness",1,-4
18,"anticipation",1,2
20,"surprise",1,1
21,"disgust",1,-2
22,"anticipation",1,2
22,"joy",1,4
22,"surprise",2,1
23,"anticipation",1,2
23,"disgust",2,-2
23,"joy",1,4
23,"surprise",1,1
23,"trust",1,3
24,"anger",1,-3
24,"fear",1,-1
24,"sadness",1,-4
26,"anticipation",2,2
26,"fear",1,-1
26,"joy",3,4
26,"sadness",1,-4
26,"surprise",1,1
26,"trust",2,3
27,"fear",1,-1
27,"joy",2,4
27,"trust",1,3
28,"anticipation",2,2
28,"fear",2,-1
28,"sadness",1,-4
29,"anger",1,-3
29,"anticipation",1,2
29,"disgust",2,-2
29,"fear",2,-1
29,"joy",1,4
29,"sadness",1,-4
30,"fear",4,-1
30,"sadness",1,-4
31,"anger",4,-3
31,"anticipation",1,2
31,"disgust",1,-2
31,"fear",1,-1
31,"sadness",1,-4
32,"anticipation",1,2
32,"disgust",1,-2
32,"fear",1,-1
32,"joy",2,4
32,"surprise",1,1
32,"trust",1,3
33,"anger",3,-3
33,"disgust",1,-2
33,"fear",1,-1
35,"anger",1,-3
35,"disgust",1,-2
36,"anticipation",1,2
36,"joy",1,4
36,"trust",1,3
37,"anger",1,-3
37,"disgust",1,-2
37,"fear",1,-1
37,"sadness",1,-4
39,"anger",1,-3
39,"anticipation",2,2
39,"disgust",2,-2
40,"anticipation",1,2
40,"disgust",1,-2
40,"fear",1,-1
40,"joy",1,4
41,"disgust",1,-2
41,"fear",1,-1
42,"anticipation",1,2
42,"disgust",1,-2
42,"fear",1,-1
42,"joy",2,4
42,"sadness",1,-4
42,"surprise",1,1
43,"anticipation",3,2
43,"joy",1,4
43,"surprise",1,1
43,"trust",1,3
44,"fear",1,-1
45,"disgust",1,-2
46,"anticipation",2,2
46,"fear",1,-1
46,"trust",1,3
47,"anger",3,-3
47,"anticipation",1,2
47,"sadness",1,-4
48,"disgust",3,-2
48,"fear",3,-1
49,"anticipation",1,2
49,"disgust",1,-2
49,"fear",1,-1
51,"anticipation",1,2
51,"fear",1,-1
51,"joy",1,4
51,"surprise",1,1
51,"trust",1,3
52,"anger",3,-3
52,"anticipation",4,2
52,"disgust",1,-2
52,"fear",1,-1
52,"joy",2,4
52,"surprise",1,1
52,"trust",3,3
53,"anger",3,-3
53,"disgust",4,-2
53,"fear",1,-1
54,"disgust",1,-2
55,"anger",1,-3
55,"disgust",1,-2
55,"fear",1,-1
56,"anticipation",1,2
56,"disgust",2,-2
56,"fear",2,-1
56,"joy",1,4
56,"sadness",2,-4
56,"trust",1,3
57,"anger",1,-3
57,"anticipation",1,2
57,"disgust",1,-2
57,"fear",2,-1
57,"sadness",1,-4
58,"anticipation",5,2
58,"disgust",7,-2
58,"fear",9,-1
58,"joy",1,4
58,"sadness",1,-4
58,"surprise",3,1
58,"trust",1,3
59,"disgust",2,-2
59,"fear",4,-1
59,"sadness",2,-4
59,"surprise",1,1
60,"anticipation",1,2
60,"joy",1,4
60,"trust",1,3
