line,sentiment,n,e_depth
1,"anticipation",1,2
1,"trust",1,3
2,"anger",3,-3
2,"anticipation",2,2
2,"disgust",3,-2
2,"fear",5,-1
2,"joy",1,4
2,"sadness",2,-4
2,"trust",1,3
3,"anticipation",4,2
3,"fear",1,-1
3,"joy",3,4
3,"surprise",2,1
3,"trust",4,3
4,"anger",4,-3
4,"anticipation",2,2
4,"disgust",2,-2
4,"fear",7,-1
4,"joy",2,4
4,"sadness",4,-4
4,"surprise",2,1
4,"trust",4,3
5,"anticipation",1,2
5,"joy",2,4
5,"trust",2,3
7,"anger",2,-3
7,"fear",1,-1
9,"fear",1,-1
11,"anger",1,-3
11,"anticipation",6,2
11,"fear",12,-1
11,"joy",5,4
11,"sadness",3,-4
11,"surprise",2,1
11,"trust",4,3
12,"anger",3,-3
12,"anticipation",7,2
12,"disgust",2,-2
12,"fear",5,-1
12,"joy",5,4
12,"sadness",5,-4
12,"surprise",3,1
12,"trust",4,3
13,"anger",2,-3
13,"anticipation",1,2
13,"fear",5,-1
13,"joy",3,4
13,"sadness",1,-4
13,"surprise",1,1
13,"trust",4,3
18,"anger",1,-3
18,"anticipation",2,2
18,"disgust",1,-2
18,"fear",8,-1
18,"joy",2,4
18,"sadness",2,-4
18,"surprise",3,1
18,"trust",2,3
19,"anger",6,-3
19,"anticipation",6,2
19,"disgust",4,-2
19,"fear",3,-1
19,"joy",6,4
19,"sadness",6,-4
19,"surprise",5,1
19,"trust",6,3
20,"anticipation",5,2
20,"fear",2,-1
20,"joy",5,4
20,"surprise",2,1
20,"trust",6,3
21,"anger",1,-3
21,"anticipation",2,2
21,"joy",2,4
21,"surprise",2,1
21,"trust",2,3
22,"anger",3,-3
22,"disgust",3,-2
22,"fear",5,-1
22,"sadness",4,-4
22,"trust",1,3
23,"anticipation",3,2
23,"fear",1,-1
26,"anticipation",1,2
26,"fear",1,-1
26,"joy",1,4
26,"trust",2,3
27,"anger",2,-3
27,"fear",4,-1
28,"fear",1,-1
28,"sadness",1,-4
29,"anticipation",1,2
29,"fear",5,-1
29,"joy",2,4
30,"anger",6,-3
30,"anticipation",9,2
30,"disgust",3,-2
30,"fear",8,-1
30,"joy",6,4
30,"sadness",4,-4
30,"surprise",6,1
30,"trust",3,3
31,"anticipation",1,2
31,"joy",1,4
31,"surprise",1,1
33,"anger",3,-3
33,"anticipation",2,2
33,"disgust",2,-2
33,"fear",3,-1
33,"joy",2,4
33,"sadness",2,-4
33,"surprise",1,1
34,"anger",3,-3
34,"anticipation",2,2
34,"disgust",4,-2
34,"fear",10,-1
34,"sadness",5,-4
34,"trust",4,3
35,"anger",2,-3
35,"anticipation",2,2
35,"disgust",2,-2
35,"fear",1,-1
35,"joy",2,4
35,"sadness",3,-4
35,"surprise",1,1
35,"trust",2,3
36,"anticipation",1,2
36,"fear",1,-1
36,"joy",1,4
36,"sadness",1,-4
36,"surprise",1,1
36,"trust",1,3
37,"anticipation",1,2
38,"anticipation",1,2
38,"joy",2,4
38,"trust",1,3
39,"anger",4,-3
39,"anticipation",2,2
39,"disgust",2,-2
39,"fear",6,-1
39,"joy",2,4
39,"sadness",2,-4
39,"surprise",2,1
39,"trust",2,3
40,"anger",1,-3
40,"fear",2,-1
40,"trust",1,3
41,"anger",1,-3
42,"anger",1,-3
42,"disgust",1,-2
43,"anticipation",1,2
43,"joy",1,4
43,"trust",1,3
44,"anger",1,-3
44,"disgust",1,-2
44,"fear",1,-1
44,"sadness",1,-4
46,"anticipation",1,2
46,"joy",1,4
46,"sadness",1,-4
46,"surprise",1,1
47,"anticipation",1,2
47,"fear",2,-1
47,"joy",1,4
47,"sadness",1,-4
47,"surprise",1,1
48,"anger",1,-3
48,"anticipation",2,2
48,"disgust",2,-2
48,"fear",7,-1
48,"joy",1,4
48,"sadness",2,-4
48,"surprise",2,1
48,"trust",4,3
49,"anger",3,-3
49,"anticipation",9,2
49,"disgust",1,-2
49,"fear",5,-1
49,"joy",9,4
49,"sadness",8,-4
49,"surprise",4,1
49,"trust",7,3
50,"anger",1,-3
50,"anticipation",3,2
50,"fear",2,-1
50,"joy",1,4
50,"trust",3,3
52,"anticipation",1,2
52,"fear",2,-1
53,"sadness",1,-4
53,"surprise",1,1
54,"anticipation",1,2
54,"joy",1,4
54,"trust",1,3
56,"anger",5,-3
56,"anticipation",4,2
56,"disgust",2,-2
56,"fear",10,-1
56,"joy",7,4
56,"sadness",4,-4
56,"surprise",2,1
56,"trust",5,3
