line,sentiment,n,e_depth
1,"anger",1,-3
1,"anticipation",2,2
1,"disgust",1,-2
1,"joy",1,4
1,"sadness",1,-4
1,"surprise",1,1
1,"trust",1,3
2,"anticipation",2,2
2,"joy",1,4
2,"sadness",1,-4
2,"trust",3,3
3,"surprise",1,1
3,"trust",1,3
4,"anger",2,-3
4,"anticipation",3,2
4,"disgust",1,-2
4,"fear",2,-1
4,"joy",4,4
4,"sadness",1,-4
4,"surprise",3,1
4,"trust",3,3
5,"anger",2,-3
5,"anticipation",3,2
5,"disgust",1,-2
5,"fear",2,-1
5,"joy",5,4
5,"sadness",4,-4
5,"surprise",4,1
5,"trust",7,3
10,"anger",1,-3
10,"anticipation",1,2
10,"disgust",1,-2
10,"fear",1,-1
10,"joy",1,4
10,"sadness",1,-4
10,"surprise",1,1
10,"trust",1,3
13,"anger",4,-3
13,"anticipation",5,2
13,"disgust",5,-2
13,"fear",2,-1
13,"joy",4,4
13,"sadness",1,-4
13,"surprise",4,1
13,"trust",8,3
14,"anger",2,-3
14,"anticipation",2,2
14,"disgust",2,-2
14,"fear",1,-1
14,"joy",2,4
14,"sadness",1,-4
14,"surprise",2,1
14,"trust",2,3
15,"anger",3,-3
15,"anticipation",1,2
15,"disgust",1,-2
15,"fear",2,-1
15,"joy",3,4
15,"sadness",4,-4
15,"surprise",2,1
15,"trust",4,3
16,"anger",1,-3
16,"anticipation",3,2
16,"fear",1,-1
16,"joy",3,4
16,"surprise",2,1
16,"trust",3,3
17,"anticipation",1,2
17,"joy",1,4
17,"sadness",1,-4
17,"trust",1,3
19,"anger",3,-3
19,"anticipation",3,2
19,"disgust",2,-2
19,"fear",3,-1
19,"joy",3,4
19,"sadness",3,-4
19,"surprise",5,1
19,"trust",3,3
