line,sentiment,n,e_depth
1,"anger",1,-3
1,"fear",1,-1
1,"joy",1,4
1,"surprise",1,1
1,"trust",1,3
2,"joy",2,4
2,"sadness",1,-4
2,"surprise",1,1
2,"trust",1,3
3,"trust",1,3
4,"anger",2,-3
4,"disgust",2,-2
4,"joy",1,4
4,"sadness",3,-4
5,"disgust",1,-2
5,"fear",1,-1
5,"joy",1,4
6,"anticipation",2,2
6,"disgust",1,-2
6,"joy",3,4
6,"surprise",1,1
6,"trust",2,3
7,"anticipation",1,2
7,"joy",1,4
7,"trust",1,3
17,"disgust",1,-2
17,"sadness",1,-4
17,"surprise",1,1
17,"trust",2,3
18,"anger",1,-3
18,"anticipation",1,2
18,"disgust",4,-2
18,"fear",4,-1
18,"sadness",3,-4
18,"trust",1,3
19,"anger",1,-3
19,"anticipation",2,2
19,"disgust",1,-2
19,"fear",2,-1
20,"anger",6,-3
20,"anticipation",1,2
20,"disgust",1,-2
20,"fear",7,-1
20,"joy",2,4
20,"sadness",6,-4
20,"surprise",4,1
20,"trust",3,3
21,"anger",1,-3
21,"anticipation",1,2
21,"disgust",1,-2
21,"fear",2,-1
21,"joy",1,4
21,"trust",1,3
23,"surprise",1,1
24,"anger",2,-3
24,"disgust",1,-2
24,"fear",2,-1
24,"sadness",4,-4
24,"surprise",3,1
25,"anger",1,-3
25,"fear",1,-1
25,"sadness",1,-4
26,"anger",1,-3
26,"anticipation",2,2
26,"disgust",1,-2
26,"fear",1,-1
26,"joy",2,4
26,"sadness",1,-4
26,"surprise",1,1
28,"anger",3,-3
28,"anticipation",4,2
28,"fear",2,-1
28,"joy",3,4
28,"surprise",2,1
28,"trust",3,3
29,"anger",1,-3
29,"anticipation",2,2
29,"fear",3,-1
29,"joy",2,4
29,"sadness",2,-4
29,"surprise",2,1
29,"trust",1,3
30,"anger",2,-3
30,"anticipation",2,2
30,"disgust",1,-2
30,"fear",2,-1
30,"sadness",1,-4
30,"surprise",1,1
31,"trust",1,3
33,"fear",1,-1
35,"trust",1,3
39,"joy",1,4
40,"anticipation",3,2
40,"joy",1,4
40,"sadness",1,-4
40,"surprise",1,1
40,"trust",1,3
41,"joy",1,4
41,"trust",1,3
42,"fear",1,-1
42,"sadness",1,-4
42,"trust",1,3
43,"anger",5,-3
43,"anticipation",7,2
43,"disgust",2,-2
43,"fear",3,-1
43,"joy",2,4
43,"sadness",2,-4
43,"surprise",3,1
43,"trust",3,3
44,"anger",2,-3
44,"anticipation",1,2
44,"fear",1,-1
44,"sadness",1,-4
44,"trust",1,3
45,"anticipation",2,2
45,"fear",1,-1
45,"joy",2,4
45,"sadness",1,-4
45,"surprise",1,1
45,"trust",2,3
46,"anger",1,-3
46,"anticipation",1,2
46,"disgust",2,-2
46,"fear",2,-1
46,"joy",1,4
46,"sadness",1,-4
46,"trust",1,3
47,"sadness",1,-4
48,"disgust",1,-2
48,"fear",1,-1
49,"anger",2,-3
49,"anticipation",2,2
49,"fear",3,-1
49,"joy",1,4
49,"sadness",4,-4
49,"trust",1,3
51,"anger",1,-3
51,"disgust",1,-2
51,"fear",1,-1
51,"sadness",1,-4
52,"anger",1,-3
52,"anticipation",1,2
52,"fear",1,-1
56,"anger",1,-3
56,"anticipation",2,2
56,"fear",1,-1
56,"joy",2,4
56,"trust",1,3
57,"anger",1,-3
57,"anticipation",2,2
57,"disgust",1,-2
57,"fear",3,-1
57,"joy",1,4
57,"sadness",2,-4
57,"surprise",1,1
57,"trust",1,3
59,"sadness",1,-4
