line,sentiment,n,e_depth
1,"anger",3,-3
1,"anticipation",4,2
1,"disgust",1,-2
1,"fear",2,-1
1,"joy",3,4
1,"sadness",1,-4
1,"surprise",1,1
1,"trust",2,3
3,"anger",1,-3
3,"anticipation",1,2
3,"joy",1,4
3,"sadness",2,-4
3,"surprise",1,1
3,"trust",1,3
4,"anger",2,-3
4,"anticipation",1,2
4,"disgust",1,-2
4,"fear",1,-1
4,"joy",1,4
4,"sadness",2,-4
5,"joy",1,4
6,"fear",1,-1
7,"anger",1,-3
7,"fear",1,-1
8,"anger",2,-3
8,"anticipation",1,2
8,"disgust",2,-2
8,"fear",2,-1
8,"joy",2,4
8,"sadness",2,-4
8,"surprise",1,1
8,"trust",1,3
9,"anger",1,-3
9,"anticipation",3,2
9,"disgust",1,-2
9,"joy",3,4
9,"surprise",2,1
9,"trust",3,3
10,"fear",1,-1
12,"joy",1,4
13,"anticipation",1,2
13,"joy",1,4
13,"sadness",1,-4
13,"trust",1,3
14,"anger",1,-3
16,"anger",1,-3
16,"anticipation",2,2
16,"disgust",1,-2
16,"joy",3,4
16,"sadness",1,-4
16,"surprise",1,1
16,"trust",2,3
17,"fear",1,-1
19,"joy",1,4
20,"anticipation",1,2
20,"joy",1,4
20,"sadness",1,-4
20,"trust",1,3
21,"anger",1,-3
23,"anger",1,-3
23,"anticipation",5,2
23,"disgust",1,-2
23,"fear",2,-1
23,"joy",4,4
23,"sadness",1,-4
23,"surprise",2,1
23,"trust",3,3
24,"fear",1,-1
26,"joy",1,4
27,"anticipation",1,2
27,"joy",1,4
27,"sadness",1,-4
27,"trust",1,3
34,"anger",1,-3
39,"anger",1,-3
39,"anticipation",4,2
39,"disgust",2,-2
39,"fear",1,-1
39,"joy",4,4
39,"sadness",2,-4
39,"surprise",2,1
39,"trust",3,3
40,"anticipation",1,2
40,"joy",1,4
40,"sadness",1,-4
