line,sentiment,n,e_depth
1,"anticipation",1,2
2,"sadness",1,-4
2,"surprise",1,1
3,"anger",1,-3
3,"disgust",1,-2
3,"fear",1,-1
3,"sadness",1,-4
4,"anticipation",1,2
4,"trust",1,3
8,"anger",1,-3
8,"disgust",1,-2
8,"fear",1,-1
8,"sadness",1,-4
16,"anticipation",2,2
16,"joy",1,4
16,"sadness",1,-4
16,"trust",1,3
18,"disgust",1,-2
18,"sadness",1,-4
23,"anger",1,-3
23,"anticipation",1,2
23,"disgust",1,-2
23,"fear",3,-1
23,"joy",1,4
23,"sadness",2,-4
23,"surprise",1,1
23,"trust",1,3
24,"anticipation",2,2
24,"fear",1,-1
24,"joy",1,4
24,"sadness",1,-4
24,"trust",1,3
26,"anticipation",1,2
26,"fear",1,-1
26,"sadness",1,-4
26,"trust",1,3
27,"anticipation",1,2
29,"anticipation",1,2
29,"fear",1,-1
29,"sadness",1,-4
29,"surprise",1,1
29,"trust",1,3
30,"sadness",1,-4
30,"surprise",1,1
34,"anticipation",1,2
36,"anticipation",1,2
36,"fear",1,-1
37,"anger",2,-3
37,"disgust",2,-2
37,"fear",2,-1
37,"sadness",3,-4
38,"anticipation",1,2
38,"joy",1,4
38,"trust",1,3
39,"anger",1,-3
39,"disgust",1,-2
39,"fear",1,-1
39,"sadness",1,-4
39,"surprise",1,1
40,"surprise",1,1
41,"trust",1,3
42,"joy",1,4
42,"trust",1,3
57,"anticipation",1,2
57,"fear",1,-1
57,"joy",1,4
57,"sadness",1,-4
57,"trust",1,3
58,"anger",1,-3
58,"anticipation",1,2
58,"joy",1,4
58,"sadness",1,-4
58,"surprise",1,1
58,"trust",1,3
62,"sadness",1,-4
64,"sadness",1,-4
66,"sadness",1,-4
67,"anticipation",1,2
67,"fear",1,-1
68,"anger",1,-3
68,"anticipation",1,2
68,"disgust",1,-2
68,"fear",1,-1
68,"sadness",1,-4
69,"anger",1,-3
69,"anticipation",2,2
69,"disgust",1,-2
69,"fear",2,-1
69,"sadness",2,-4
70,"disgust",1,-2
70,"joy",1,4
70,"surprise",1,1
72,"joy",2,4
72,"sadness",2,-4
72,"surprise",1,1
72,"trust",1,3
76,"joy",1,4
76,"trust",1,3
79,"anger",1,-3
80,"sadness",1,-4
82,"sadness",1,-4
83,"anticipation",1,2
83,"sadness",1,-4
83,"surprise",1,1
86,"anger",2,-3
86,"disgust",1,-2
86,"fear",2,-1
86,"sadness",2,-4
86,"surprise",1,1
