"no","State","mean_score","mean_price","mean_value","freq"
"1","Alsace",89.6031672100605,30.3768048439683,3.61155226334394,2147
"2","Beaujolais",88.1004728132388,20.3498817966903,4.83951048886021,846
"3","Bordeaux",87.9602301150575,38.9104552276138,4.34298196124608,3998
"4","Burgundy",89.64495324089,71.1412447597549,2.36979975615584,3101
"5","Champagne",90.2631959508315,79.4613159797542,1.49090819233516,1383
"6","Languedoc-Roussillon",87.1022146507666,20.1277683134583,5.66893759434627,587
"7","Loire Valley",88.5195214105793,26.0547858942065,4.20702390746365,1588
"8","Provence",88.2736098852604,22.7140335392763,4.55614808755076,1133
"9","Rhône Valley",89,38.7938044530494,3.93567847724232,1033
"10","Southwest France",88.6770753998477,24.4166031987814,4.96187113251771,1313
