"no","State","mean_score","mean_price","mean_value","freq"
"1","Arizona",84.875,29.2,3.40106597319526,40
"2","California",88.6294111129577,39.0407179657637,3.20533295121133,36102
"3","Colorado",86.1176470588235,32.9852941176471,3.09543466947691,68
"4","Connecticut",84,15.3333333333333,5.81212121212121,3
"5","Hawaii",87,28,3.10714285714286,1
"6","Idaho",86.6785714285714,16.8571428571429,7.33732084039149,28
"7","Illinois",84.5,32.3333333333333,2.65649038461538,6
"8","Iowa",83,15.5,5.53653846153846,4
"9","Kentucky",83,35,2.37142857142857,1
"10","Massachusetts",84.8571428571429,21.2857142857143,4.39339169000934,7
"11","Michigan",86.1531531531532,32.4324324324324,3.54024502457888,111
"12","Missouri",83.3333333333333,17.3333333333333,6.26698440204305,33
"13","Nevada",84.25,37.75,2.86025568181818,4
"14","New Jersey",84,25.5,3.75670787545788,8
"15","New Mexico",83.9555555555555,22.4222222222222,4.28199013186608,45
"16","New York",87.1812406576981,22.8262331838565,4.42558147972514,2676
"17","North Carolina",84.5652173913043,21,4.49187458312791,23
"18","Ohio",84.0833333333333,13.75,6.24610814022579,12
"19","Oregon",89.0541246733856,36.5388204553938,3.12977274596925,5358
"20","Pennsylvania",84.5555555555556,23.3333333333333,4.06059712571222,18
"21","Rhode Island",90,25,3.6,1
"22","Texas",85.2380952380952,24.2738095238095,4.03254476679945,84
"23","Vermont",84.3333333333333,31.6666666666667,2.86962962962963,3
"24","Virginia",85.6194805194805,27.012987012987,3.53160940735402,770
"25","Washington",88.9514155889549,32.4364441337528,3.61425138229295,8583
